2024-07-14 02:42:15 | | READY_FOR_LIFTOFF | Lat,Long=-31.98820,115.81026 | B_Alt=0.16 | B_Pres=1014.36 | B_Temp=21.72 | A_Vel=0.00 | B_Vel=2.81 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,611,-1004 |
2024-07-14 02:42:16 | | READY_FOR_LIFTOFF | Lat,Long=-31.98820,115.81026 | B_Alt=0.50 | B_Pres=1014.32 | B_Temp=21.71 | A_Vel=0.00 | B_Vel=0.08 | F_Vel=0.00 | Cont_A,M=0,0 | accel=759,617,-1002 |
2024-07-14 02:42:17 | | READY_FOR_LIFTOFF | Lat,Long=-31.98820,115.81026 | B_Alt=0.23 | B_Pres=1014.29 | B_Temp=21.75 | A_Vel=0.00 | B_Vel=-3.30 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,616,-1006 |
2024-07-14 02:42:18 | | READY_FOR_LIFTOFF | Lat,Long=-31.98820,115.81026 | B_Alt=-0.01 | B_Pres=1014.35 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=-0.29 | F_Vel=0.00 | Cont_A,M=0,0 | accel=767,614,-1003 |
2024-07-14 02:42:19 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81026 | B_Alt=-0.00 | B_Pres=1014.34 | B_Temp=21.76 | A_Vel=0.00 | B_Vel=-0.81 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,618,-1005 |
2024-07-14 02:42:20 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81026 | B_Alt=0.36 | B_Pres=1014.35 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=0.46 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,615,-1005 |
2024-07-14 02:42:21 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81026 | B_Alt=0.35 | B_Pres=1014.34 | B_Temp=21.80 | A_Vel=0.00 | B_Vel=0.34 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,619,-1009 |
2024-07-14 02:42:22 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81027 | B_Alt=-0.51 | B_Pres=1014.37 | B_Temp=21.83 | A_Vel=0.00 | B_Vel=1.37 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,620,-1007 |
2024-07-14 02:42:23 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81027 | B_Alt=0.27 | B_Pres=1014.27 | B_Temp=21.82 | A_Vel=0.00 | B_Vel=-2.29 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,618,-1004 |
2024-07-14 02:42:24 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81027 | B_Alt=-0.49 | B_Pres=1014.41 | B_Temp=21.88 | A_Vel=0.00 | B_Vel=-0.97 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,616,-1002 |
2024-07-14 02:42:25 | | READY_FOR_LIFTOFF | Lat,Long=-31.98821,115.81027 | B_Alt=0.40 | B_Pres=1014.27 | B_Temp=21.83 | A_Vel=0.00 | B_Vel=-0.77 | F_Vel=0.00 | Cont_A,M=0,0 | accel=745,630,-1007 |
